id,rubro,importeCentavos,bonificacionCentavos,estado,diasCobertura
P001,Alimentos,135000,35000,APROBADO,0
P002,Combustible,142500,42500,APROBADO,90
P003,Servicios,575000,75000,APROBADO,90
P004,Alimentos,65000,64900,APROBADO,30
P005,Combustible,3090000,90000,APROBADO,0
P006,Servicios,5000000,2000000,APROBADO,0
P007,Alimentos,175100,75000,APROBADO,0
P008,Combustible,599900,100000,APROBADO,180
P009,Servicios,220100,120000,APROBADO,90
P010,Alimentos,1274900,75000,APROBADO,0
P011,Alimentos,45000,7500,APROBADO,0
P012,Combustible,300000,15000,APROBADO,0
P013,Servicios,1266500,32500,APROBADO,0
P014,Alimentos,3059900,60000,APROBADO,0
P015,Combustible,195100,95000,APROBADO,0
P016,Servicios,349900,150000,APROBADO,180
P017,Alimentos,507400,7500,APROBADO,30
P018,Combustible,64900,15000,APROBADO,90
P019,Servicios,132600,32500,APROBADO,180
P020,Combustible,114900,15000,APROBADO,0
P021,Servicios,532600,32500,APROBADO,0
P022,Alimentos,1860100,60000,APROBADO,0
P023,Combustible,132500,95000,APROBADO,0
P024,Servicios,435000,150000,APROBADO,0
P025,Alimentos,207600,7500,APROBADO,30
P026,Combustible,515000,15000,APROBADO,90
P027,Servicios,132400,32500,APROBADO,180
P028,Alimentos,259900,60000,APROBADO,30
P029,Servicios,132600,32500,APROBADO,0
P030,Alimentos,885000,60000,APROBADO,0
P031,Combustible,2594900,95000,APROBADO,0
P032,Servicios,249900,150000,APROBADO,0
P033,Alimentos,507600,7500,APROBADO,0
P034,Combustible,364000,15000,APROBADO,90
P035,Servicios,32501,32500,APROBADO,180
P036,Alimentos,160000,60000,APROBADO,30
P037,Combustible,295100,95000,APROBADO,90
P038,Alimentos,345000,60000,APROBADO,0
P039,Combustible,1329000,95000,APROBADO,0
P040,Servicios,3149900,150000,APROBADO,0
P041,Alimentos,107600,7500,APROBADO,0
P042,Combustible,840000,15000,APROBADO,0
P043,Servicios,532400,32500,APROBADO,180
P044,Alimentos,109900,60000,APROBADO,30
P045,Combustible,195100,95000,APROBADO,90
P046,Servicios,499000,150000,APROBADO,180
P047,Combustible,595100,95000,APROBADO,0
P048,Servicios,1950100,150000,APROBADO,0
P049,Alimentos,45000,7500,APROBADO,0
P050,Combustible,300000,15000,APROBADO,0
P051,Servicios,1266500,32500,APROBADO,0
P052,Alimentos,560000,60000,APROBADO,30
P053,Combustible,194900,95000,APROBADO,90
P054,Servicios,349900,150000,APROBADO,180
P055,Alimentos,507400,7500,APROBADO,30
P056,Servicios,975000,150000,APROBADO,0
P057,Alimentos,2507400,7500,APROBADO,0
P058,Combustible,114900,15000,APROBADO,0
P059,Servicios,532600,32500,APROBADO,0
P060,Alimentos,1860100,60000,APROBADO,0
P061,Combustible,95001,95000,APROBADO,90
P062,Servicios,250000,150000,APROBADO,180
P063,Alimentos,207600,7500,APROBADO,30
P064,Combustible,515000,15000,APROBADO,90
P065,Alimentos,1241500,7500,APROBADO,0
P066,Combustible,3014900,15000,APROBADO,0
P067,Servicios,132600,32500,APROBADO,0
P068,Alimentos,885000,60000,APROBADO,0
P069,Combustible,2594900,95000,APROBADO,0
P070,Servicios,199900,150000,APROBADO,180
P071,Alimentos,107600,7500,APROBADO,30
P072,Combustible,364000,15000,APROBADO,90
P073,Servicios,32501,32500,APROBADO,180
P074,Combustible,1815100,15000,APROBADO,0
P075,Servicios,70000,32500,APROBADO,0
P076,Alimentos,345000,60000,APROBADO,0
P077,Combustible,1329000,95000,APROBADO,0
P078,Servicios,3149900,150000,APROBADO,0
P079,Alimentos,107400,7500,APROBADO,30
P080,Combustible,214900,15000,APROBADO,90
P081,Servicios,532400,32500,APROBADO,180
P082,Alimentos,109900,60000,APROBADO,30
P083,Servicios,2532400,32500,APROBADO,0
P084,Alimentos,159900,60000,APROBADO,0
P085,Combustible,595100,95000,APROBADO,0
P086,Servicios,1950100,150000,APROBADO,0
P087,Alimentos,45000,7500,APROBADO,0
P088,Combustible,115000,15000,APROBADO,90
P089,Servicios,232600,32500,APROBADO,180
P090,Alimentos,560000,60000,APROBADO,30
P091,Combustible,194900,95000,APROBADO,90
P092,Alimentos,3059900,60000,APROBADO,0
P093,Combustible,195100,95000,APROBADO,0
P094,Servicios,975000,150000,APROBADO,0
P095,Alimentos,2507400,7500,APROBADO,0
P096,Combustible,114900,15000,APROBADO,0
P097,Servicios,132600,32500,APROBADO,180
P098,Alimentos,409000,60000,APROBADO,30
P099,Combustible,95001,95000,APROBADO,90
P100,Servicios,250000,150000,APROBADO,180
P101,Alimentos,0,0,ANULADO,15
P102,Combustible,mil,10000,ANULADO,
P103,Servicios,575100,75000,ANULADO,90
P104,Alimentos,145000,25000,ANULADO,0
P105,Combustible,0,0,ANULADO,15
P106,Servicios,mil,10000,ANULADO,
P107,Alimentos,575100,75000,ANULADO,90
P108,Combustible,145000,25000,ANULADO,0
P109,Servicios,0,0,ANULADO,15
