id,rubro,importeCentavos,bonificacionCentavos,estado
C01,Alimentos,120000,20000,APROBADO
C02,Combustible,170000,20000,APROBADO
C03,Alimentos,310000,10000,APROBADO
C04,Servicios,60000,10000,APROBADO
C05,Combustible,110100,10000,APROBADO
C06,Servicios,3010000,10000,APROBADO
C07,Alimentos,0,0,ANULADO
C08,Combustible,90000,10000,ANULADO
C09,Servicios,10000,10000,APROBADO
C10,Alimentos,mil,10000,APROBADO
C11,Combustible,90000,10000,PENDIENTE
C12,Servicios,210000,10000,APROBADO
I013,Alimentos,1,0,APROBADO
I014,Combustible,104999,5000,APROBADO
I015,Servicios,110000,10000,APROBADO
I016,Alimentos,125001,25000,APROBADO
I017,Combustible,249999,50000,APROBADO
I018,Servicios,275000,75000,APROBADO
I019,Alimentos,320001,120000,APROBADO
I020,Combustible,499999,0,APROBADO
I021,Servicios,505000,5000,APROBADO
I022,Alimentos,510001,10000,APROBADO
I023,Combustible,774000,25000,APROBADO
I024,Servicios,1050000,50000,APROBADO
I025,Alimentos,1575100,75000,APROBADO
I026,Combustible,2425000,120000,APROBADO
I027,Servicios,2999900,0,APROBADO
I028,Alimentos,3005000,5000,APROBADO
I029,Combustible,10001,10000,APROBADO
I030,Servicios,124999,25000,APROBADO
I031,Alimentos,150000,50000,APROBADO
I032,Combustible,175001,75000,APROBADO
I033,Servicios,319999,120000,APROBADO
I034,Alimentos,200000,0,APROBADO
I035,Combustible,205001,5000,APROBADO
I036,Servicios,509999,10000,APROBADO
I037,Alimentos,525000,25000,APROBADO
I038,Combustible,550001,50000,APROBADO
I039,Servicios,824000,75000,APROBADO
I040,Alimentos,1120000,120000,APROBADO
I041,Combustible,1500100,0,APROBADO
I042,Servicios,2310000,5000,APROBADO
I043,Alimentos,3009900,10000,APROBADO
I044,Combustible,3025000,25000,APROBADO
I045,Alimentos,0,0,ANULADO
I046,Combustible,mil,10000,ANULADO
I047,Servicios,5000100,0,ANULADO
I048,Alimentos,85000,5000,ANULADO
I049,Alimentos,3010100,10000,APROBADO
I050,Combustible,5000100,2000100,APROBADO
I051,Servicios,0,0,APROBADO
I052,Alimentos,50000,50000,APROBADO
I053,Combustible,50000,50100,APROBADO
I054,Servicios,100000,-1,APROBADO
I055,Alimentos,mil,10000,APROBADO
I056,Combustible,100000,cien,APROBADO
I057,,100000,0,APROBADO
I058,Servicios,100000,0,PENDIENTE
I059,Alimentos,100000,0
I060,Combustible,100000,0,APROBADO,extra
